127.0.0.1 - - [19/Jun/2017:11:37:55 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:00 +0530] "GET /ecitation/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:02 +0530] "GET /ecitation/login HTTP/1.1" 200 6427
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:03 +0530] "GET /ecitation/static/assets/global/plugins/simple-line-icons/simple-line-icons.min.css HTTP/1.1" 200 9562
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:03 +0530] "GET /ecitation/static/assets/global/plugins/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 26711
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:03 +0530] "GET /ecitation/static/assets/global/plugins/bootstrap-switch/css/bootstrap-switch.min.css HTTP/1.1" 200 6457
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:03 +0530] "GET /ecitation/static/assets/global/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 117974
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:03 +0530] "GET /ecitation/static/assets/global/plugins/select2/css/select2-bootstrap.min.css HTTP/1.1" 200 15552
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:03 +0530] "GET /ecitation/static/assets/global/plugins/select2/css/select2.min.css HTTP/1.1" 200 14909
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:03 +0530] "GET /ecitation/static/assets/global/css/plugins.min.css HTTP/1.1" 200 40402
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:04 +0530] "GET /ecitation/static/assets/pages/css/login-5.min.css HTTP/1.1" 200 5252
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:04 +0530] "GET /ecitation/static/assets/global/css/components.min.css HTTP/1.1" 200 582990
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:04 +0530] "GET /ecitation/static/assets/pages/css/login-4.min.css HTTP/1.1" 200 1999
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:04 +0530] "GET /ecitation/static/assets/layouts/layout/img/logo.png HTTP/1.1" 200 3794
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:04 +0530] "GET /ecitation/static/assets/global/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:04 +0530] "GET /ecitation/static/assets/global/plugins/jquery.min.js HTTP/1.1" 200 97406
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:04 +0530] "GET /ecitation/static/assets/global/plugins/bootstrap-hover-dropdown/bootstrap-hover-dropdown.min.js HTTP/1.1" 200 1539
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:04 +0530] "GET /ecitation/static/assets/global/plugins/jquery-slimscroll/jquery.slimscroll.min.js HTTP/1.1" 200 5175
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:04 +0530] "GET /ecitation/static/assets/global/plugins/jquery.blockui.min.js HTTP/1.1" 200 9569
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:04 +0530] "GET /ecitation/static/assets/global/plugins/bootstrap-switch/js/bootstrap-switch.min.js HTTP/1.1" 200 14903
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:04 +0530] "GET /ecitation/static/assets/global/plugins/jquery-validation/js/jquery.validate.min.js HTTP/1.1" 200 21090
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:04 +0530] "GET /ecitation/static/assets/global/plugins/jquery-validation/js/additional-methods.min.js HTTP/1.1" 200 17210
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:04 +0530] "GET /ecitation/static/assets/global/scripts/app.min.js HTTP/1.1" 200 15739
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:04 +0530] "GET /ecitation/static/assets/global/plugins/select2/js/select2.full.min.js HTTP/1.1" 200 71172
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:05 +0530] "GET /ecitation/static/assets/pages/scripts/login-5.min.js HTTP/1.1" 200 1376
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:05 +0530] "GET /ecitation/static/assets/pages/scripts/login-4.min.js HTTP/1.1" 200 3560
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:05 +0530] "GET /ecitation/static/assets/global/plugins/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:05 +0530] "GET /ecitation/static/assets/global/plugins/bootstrap/fonts/bootstrap/glyphicons-halflings-regular.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:05 +0530] "GET /ecitation/static/assets/global/plugins/simple-line-icons/fonts/Simple-Line-Icons.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:05 +0530] "GET /ecitation/static/assets/pages/img/bg-white-lock.png HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:38:05 +0530] "GET /ecitation/static/assets/global/plugins/js.cookie.min.js HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:39:21 +0530] "GET /ecitation/static/assets/global/img/remove-icon-small.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:40:44 +0530] "POST /ecitation/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:40:44 +0530] "GET /ecitation/login?invalidCredentials=true HTTP/1.1" 200 6526
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:40:44 +0530] "GET /ecitation/static/assets/global/plugins/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:40:44 +0530] "GET /ecitation/static/assets/global/plugins/bootstrap/fonts/bootstrap/glyphicons-halflings-regular.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:40:44 +0530] "GET /ecitation/static/assets/global/plugins/simple-line-icons/fonts/Simple-Line-Icons.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Jun/2017:11:40:44 +0530] "GET /ecitation/static/assets/global/img/remove-icon-small.png HTTP/1.1" 404 992
